Acanthoica_quattrospina,Akashiwo,Alexandrium_catenella,Amphidinium,Amylax,Apedinella,Asterionellopsis_glacialis,Bacillaria,Bacillariophyceae,Bacteriastrum,Balanion,Biddulphia,Calciopappus,Calciosolenia_brasiliensis,Cerataulina_pelagica,Tripos,Tripos_furca,Tripos_fusus,Tripos_lineatus,Chaetoceros,Chaetoceros_danicus,Chaetoceros_didymus,Chaetoceros_didymus_TAG_external_flagellate,Chaetoceros_peruvianis,Chaetoceros_similis,Chaetoceros_socialis,Chaetoceros_subtilis,Chaetoceros_tenuissimus,Chaetoceros_throndsenii,Prorocentrum_dentatum,Chrysochromulina,Chrysochromulina_lanceolata,Copepod_nauplii,Corethron_hystrix,Corymbellus,Coscinodiscus,Cylindrotheca,Cylindrotheca_morphotype1,Dactyliosolen_blavyanus,Dactyliosolen_fragilissimus,Delphineis,Dictyocha,Dictyocysta,Didinium,Dinobryon,Dinophyceae,Dinophysis_acuminata,Dinophysis_norvegica,Dinophysis_tripos,Ditylum_brightwellii,Emiliania_huxleyi,Ephemera,Eucampia,Eucampia_morphytype1,Euglena,Euplotes,Euplotes_morphotype1,Eutintinnus,Favella,Gonyaulax,Guinardia_delicatula,Guinardia_delicatula_TAG_internal_parasite,Guinardia_flaccida,Guinardia_striata,Gyrodinium,Hemiaulus,Hemiaulus_membranaceus,Heterocapsa_rotundata,Kryptoperidinium_triquetrum,Karenia,Katodinium_or_Torodinium,Laboea_strobila,Lauderia_annulata,Leegaardiella_ovalis,Leptocylindrus,Leptocylindrus_mediterraneus,Licmophora,Margalefidinium,Mesodinium,Nanoneis,Odontella,Ophiaster,Oxytoxum,Paralia_sulcata,Parvicorbicula_socialis,Phaeocystis,Phaeocystis_debris,Pleuronema,Pleurosigma,Polykrikos,Prorocentrum,Prorocentrum_micans,Prorocentrum_triestinum,Proterythropsis,Protoperidinium,Pseudo-nitzschia,Pseudochattonella_farcimen,Pyramimonas,Pyramimonas_longicauda,Pyramimonas_morphotype1,Acantharia,Rhabdolithes,Rhizosolenia,Scrippsiella,Skeletonema,Stenosemella_morphotype1,Stenosemella_pacifica,Stephanopyxis,Pelagostrobilidium,Strombidium_capitatum,Strombidium_conicum,Strombidium_inclinatum,Strombidium_morphotype1,Strombidium_morphotype2,Strombidium_tintinnodes,Strombidium_wulffi,Syracosphaera_pulchra,Thalassionema,Thalassiosira,Thalassiosira_TAG_external_detritus,Thalassiosira_sp_aff_mala,Tiarina_fusus,Tintinnina,Tintinnidium_mucicola,Tintinnopsis,Tontonia_appendiculariformis,Paratontonia_gracillima,Trichodesmium,Vicicitus_globosus,Warnowia,Amoeba,bead,bubble,camera_spot,Ciliophora,coccolithophorid,Cryptophyta,detritus,detritus_transparent,fecal_pellet,fiber,fiber_TAG_external_detritus,flagellate,flagellate_morphotype1,flagellate_morphotype3,nanoplankton_mix,pennate,pennate_Pseudo-nitzschia,pennate_Thalassionema,pennate_morphotype1,pollen,shellfish_larvae,Bacillariophyceae_morphotype1,unknown2,zooplankton
4,0,0,0,0,1,1,0,151,0,8,0,7,0,1,0,7,0,1,13,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,3,0,0,0,0,5,54,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,1,0,0,95,1,1,18,1,0,0,12,1,0,0,1,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,2,9,0,27,0,0,0,1,9,0,2,0,0,0,0,0,0,0,2,0,0,0,5,0,7,0,2,0,1,0,0,1,0,0,0,2,8,48,0,0,6,7,94,94,221,0,10,0,10,0,16,3026,7,2,0,0,0,0,2,0,0
4,0,0,1,0,2,0,0,129,0,19,0,5,0,0,0,4,0,0,15,0,2,0,0,0,1,0,0,0,0,2,1,1,0,0,0,1,1,4,2,1,0,0,0,2,38,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,125,1,1,18,2,1,0,6,1,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,8,0,27,0,1,0,1,4,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,4,0,2,0,0,0,0,0,0,2,11,24,0,0,8,5,108,137,237,1,3,0,25,0,23,3969,7,1,0,0,0,0,11,0,0
6,0,0,0,0,2,0,0,126,0,15,0,12,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,2,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,84,0,3,13,0,0,0,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,37,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,10,22,0,0,3,2,103,85,231,0,3,0,28,0,14,5210,5,1,0,0,0,0,7,0,0
3,0,0,0,0,2,0,0,112,0,12,0,10,0,0,0,4,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,71,1,1,18,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0,39,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,5,0,0,0,0,1,0,0,0,0,10,7,0,0,2,2,119,55,226,0,2,1,29,2,14,5841,9,1,0,0,0,0,6,0,0
33,0,0,0,0,16,2,0,45,0,26,0,48,1,1,0,1,0,1,29,0,0,0,0,0,0,0,1,1,1,13,1,0,0,0,6,1,10,0,0,0,0,0,0,1,59,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,34,0,2,17,1,1,0,3,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,49,0,0,0,1,2,0,3,0,1,0,0,0,0,0,1,0,1,0,2,0,43,0,6,0,6,0,0,0,0,0,0,0,13,50,0,0,7,2,37,339,279,4,5,2,228,0,21,1771,7,0,0,0,0,0,10,0,0
6,0,0,1,0,0,0,0,92,0,14,0,7,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,86,0,1,20,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,38,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,0,0,0,3,0,0,0,1,10,11,0,1,5,1,92,124,209,3,4,0,34,0,13,6043,10,0,0,0,0,0,3,0,0
4,0,0,0,0,0,0,0,90,1,15,0,3,0,1,0,2,0,0,11,0,0,0,0,0,4,0,0,0,1,4,0,1,0,0,1,1,1,0,2,0,0,0,0,3,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,59,0,1,21,0,2,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,31,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,2,0,3,1,1,0,0,0,0,2,0,0,0,0,15,14,0,0,3,5,70,210,213,4,8,1,19,0,13,5646,7,0,0,0,0,0,1,0,0
7,0,0,0,0,0,0,0,103,0,20,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,1,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,58,0,0,17,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,3,0,0,0,0,10,4,0,0,2,1,79,58,216,1,1,0,29,0,12,5795,4,0,0,0,0,0,6,0,0
4,0,0,0,0,1,0,0,97,0,11,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,62,0,2,9,2,0,0,3,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,43,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,13,6,0,1,2,0,55,57,228,1,0,0,30,0,9,5983,6,0,0,0,0,0,6,0,0
10,0,0,0,0,0,0,0,97,0,15,0,6,0,1,0,1,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,95,0,1,19,3,0,0,5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,33,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,8,5,0,0,3,1,63,58,209,0,0,0,25,1,16,6064,7,0,0,0,0,0,3,0,0
