pid,Amoeba,Bacteriastrum,Chaetoceros,Ciliophora,Copepod_nauplii,Cryptophyta,Cylindrotheca,Dictyocha,Dinophyceae,Dinophyceae_morphotype3,Eutintinnus,Gonyaulax,Guinardia_striata,Gyrodinium,Katodinium_or_Torodinium,Laboea_strobila,Leptocylindrus_mediterraneus,Oxytoxum,Phaeocystis,Pleuronema,Pronoctiluca,Proterythropsis,Protoperidinium,Pseliodinium,Pseudo-nitzschia,Rhizosolenia,Strombidium_inclinatum,Strombidium_morphotype1,Syracosphaera_pulchra,Thalassionema,Thalassiosira,Tiarina_fusus,Tripos,Tripos_furca,Tripos_fusus,Tripos_lineatus,Warnowia,bead,bubble,coccolithophorid,colony,detritus,detritus_theca_fragment,detritus_transparent,fecal_pellet,fiber,nanoplankton_mix,pennate,seta
D20210511T051541_IFCB102,2,7,3,8,0,12,24,5,130,711,0,0,2,2,9,0,0,1,4,0,1,0,1,0,41,2,0,0,6,3,28,0,0,0,0,1,0,12,1,29,45,317,0,0,0,34,3135,112,0
D20210511T053959_IFCB102,2,19,12,1,0,12,11,2,117,447,1,0,3,1,10,0,17,2,7,0,0,1,2,0,135,2,0,1,1,5,23,0,1,0,0,2,0,11,1,19,7,275,0,1,2,17,2035,100,3
D20210511T060418_IFCB102,2,17,6,5,0,11,13,5,98,343,0,1,2,2,13,0,26,1,12,0,0,0,1,1,152,4,0,1,2,16,31,0,0,1,0,0,0,12,1,20,15,302,0,2,1,13,1579,116,4
D20210511T062836_IFCB102,0,10,5,7,0,10,9,2,76,336,0,2,1,1,7,0,15,1,12,0,1,0,1,0,93,4,0,0,0,6,24,0,0,0,0,1,1,11,1,22,15,227,0,3,0,23,2148,95,1
D20210511T065255_IFCB102,3,17,9,3,1,7,15,2,101,452,1,1,2,3,8,0,18,1,13,0,0,0,1,1,113,4,0,0,0,11,24,0,0,0,0,2,0,6,0,21,10,249,0,3,0,23,2065,106,2
D20210511T071713_IFCB102,1,27,11,8,1,11,20,6,83,567,0,0,1,2,5,0,7,2,12,0,0,0,0,0,254,6,0,0,1,32,37,0,1,0,0,1,0,2,1,29,17,322,0,5,2,27,2448,151,5
D20210511T074131_IFCB102,1,18,18,8,0,12,32,6,89,503,2,0,0,3,9,0,17,2,10,0,0,0,1,0,277,8,0,1,0,36,43,0,2,0,0,1,0,8,1,24,15,343,0,6,1,35,1770,165,6
D20210511T080550_IFCB102,1,16,11,5,0,13,12,6,104,472,1,1,1,1,13,0,13,0,13,0,0,0,0,0,221,13,0,0,2,23,22,0,0,0,0,1,0,0,0,24,10,299,0,1,1,31,2237,177,4
D20210511T083008_IFCB102,1,5,17,5,0,10,36,5,89,537,1,1,1,1,7,0,12,0,10,0,0,0,0,0,248,7,0,0,0,41,34,1,0,0,0,4,0,6,0,32,10,278,0,3,1,21,1877,131,7
D20210511T085426_IFCB102,0,15,8,5,1,9,14,3,88,414,1,2,0,3,6,0,14,0,8,0,0,0,0,0,107,5,0,0,0,13,31,0,0,0,0,5,0,5,1,22,10,224,0,0,1,22,1946,125,5
D20210511T091844_IFCB102,1,15,6,3,1,9,16,5,91,439,1,1,1,1,12,0,14,0,8,0,0,0,1,0,166,5,0,1,0,9,39,0,0,0,0,2,0,5,0,39,18,262,0,5,0,17,2047,133,0
D20210511T094302_IFCB102,1,1,8,12,0,17,25,2,159,764,0,1,1,5,7,0,1,1,5,0,0,0,0,0,64,2,0,0,5,2,36,0,0,0,0,4,0,2,0,27,28,311,0,3,0,26,2998,127,3
D20210511T100720_IFCB102,0,3,3,11,0,10,29,5,134,726,1,0,5,3,11,0,1,2,5,0,0,0,0,1,59,1,0,0,2,5,27,0,0,0,0,1,0,2,3,16,29,236,0,3,0,12,3456,107,0
D20210511T103139_IFCB102,4,2,6,3,0,18,18,4,185,706,0,0,2,2,14,0,1,1,3,0,0,0,1,1,72,2,0,0,4,10,45,0,1,0,0,2,0,7,2,49,15,303,0,4,0,27,2044,93,6
D20210511T105558_IFCB102,5,11,9,7,0,17,20,8,140,413,0,0,2,1,13,2,0,1,14,0,1,0,1,0,89,2,0,0,3,11,97,0,0,0,0,3,1,4,0,61,24,573,2,5,2,40,2119,110,3
D20210511T112016_IFCB102,1,6,1,5,0,17,21,1,131,546,0,1,4,5,15,0,0,0,5,0,0,0,1,0,55,1,0,1,2,7,38,0,0,0,0,3,0,1,1,35,12,264,0,2,1,18,1745,83,2
D20210511T114434_IFCB102,2,1,9,7,0,12,22,2,114,412,1,0,3,3,11,0,2,0,3,0,0,0,0,0,32,8,0,1,0,13,40,0,0,0,0,1,0,3,2,40,19,313,0,3,1,10,1712,92,1
D20210511T120853_IFCB102,2,3,0,6,0,15,16,3,147,450,1,1,5,4,8,0,0,1,4,0,0,1,0,1,41,2,0,0,3,9,38,0,0,0,0,4,1,5,1,36,26,321,0,3,0,15,2190,89,2
D20210511T123311_IFCB102,3,9,5,7,1,17,13,5,129,592,0,0,0,2,11,0,0,2,1,0,0,0,2,2,36,4,0,5,5,8,40,0,0,0,0,3,0,1,20,31,49,359,0,2,2,29,2734,104,2
D20210511T125241_IFCB115,0,10,5,11,0,8,4,4,164,113,2,0,0,3,11,0,2,2,0,0,0,0,0,1,24,3,0,4,4,5,10,0,0,0,0,2,0,9,11,64,9,385,0,16,1,9,768,56,3
D20210511T125729_IFCB102,2,7,5,10,0,21,18,4,154,576,1,0,0,0,5,0,2,2,4,0,1,1,0,0,37,2,0,2,4,4,20,0,0,0,0,1,0,4,14,23,48,301,0,1,1,12,2723,69,1
D20210511T132147_IFCB102,3,8,6,11,1,23,14,0,169,632,2,0,3,0,11,0,0,1,4,0,0,0,0,0,33,0,1,0,8,4,15,0,0,0,0,1,1,1,4,30,53,268,0,2,0,12,2678,60,1
D20210511T134414_IFCB115,1,10,9,15,0,25,14,2,142,152,0,0,1,9,6,1,0,2,3,0,0,0,0,0,10,2,0,1,13,4,16,0,0,0,0,1,0,6,13,78,10,379,1,46,0,19,749,32,1
D20210511T134606_IFCB102,3,6,2,7,0,22,24,0,187,602,1,1,1,3,13,0,1,1,3,0,0,1,0,0,49,2,0,0,6,9,31,0,1,0,0,2,0,0,5,37,44,272,0,3,3,13,2360,71,2
D20210511T140835_IFCB115,6,9,5,8,0,20,16,1,168,228,2,0,0,2,8,1,1,2,4,1,0,0,1,0,15,2,0,3,3,4,13,0,0,0,0,0,0,12,7,89,11,371,1,47,1,30,910,30,1
D20210511T141024_IFCB102,1,7,4,8,0,26,11,4,221,508,0,2,1,5,9,1,0,1,6,0,0,0,0,0,33,1,0,1,5,8,28,0,0,0,0,3,0,0,1,41,31,328,0,0,0,16,1897,72,2
D20210511T143256_IFCB115,1,7,2,10,0,20,17,3,169,235,1,1,1,2,9,3,0,5,0,0,0,0,0,1,13,1,0,2,9,2,8,0,0,0,0,0,0,7,7,108,21,390,0,53,0,22,940,24,0
D20210511T143442_IFCB102,0,4,6,14,0,13,19,4,183,431,2,0,0,2,12,1,0,1,7,1,0,0,0,0,22,3,0,2,5,5,36,0,0,0,1,5,0,0,2,45,62,323,0,1,2,17,1972,76,0
D20210511T145900_IFCB102,1,4,5,15,0,24,10,5,175,397,1,1,1,5,20,0,1,3,12,0,0,0,2,0,25,0,0,4,2,7,40,0,0,0,0,1,0,1,3,42,53,327,0,3,2,12,2011,62,1
D20210511T150228_IFCB115,3,6,3,9,0,23,14,3,168,225,1,1,1,3,9,0,5,4,2,0,0,0,0,0,11,3,0,1,10,2,9,1,0,0,0,2,0,10,6,74,10,346,0,39,1,23,937,30,3
