mtime,sst,cond,chl,lat,lon,latec,lonec,dx,dy,sss,sstorig,sssorig,tcorr,scorr,datetime
738283.008333333,12.7974833333333,41.5765258143148,1.43768333333333,48.961064507646,-14.9297413016243,48.9878279555492,-14.9012366186304,-2.11717594564084,-2.97595962636045,35.5325988746886,13.0974833333333,35.4912492779023,-0.3,0.0413495967863136,07-May-2021 00:12:00
738283.0125,12.7642833333333,41.549044731202,1.40925,48.9616797753154,-14.9345462224529,48.9880762168798,-14.9011673960703,-2.47920134127253,-2.93515038342622,35.5374892565596,13.0642833333333,35.4961338776821,-0.3,0.0413553788775213,07-May-2021 00:18:00
738283.016666667,12.73084,41.5094628091828,1.39902,48.9623617322938,-14.9380262229943,48.9883244782173,-14.9010981735083,-2.74281871887987,-2.88692562845733,35.531039670549,13.03084,35.4896785095801,-0.3,0.0413611609688905,07-May-2021 00:24:00
738283.020833333,12.7137,41.4900333595907,1.40215,48.9629069665913,-14.9404170610876,48.9885727395479,-14.9010289509482,-2.92553891405481,-2.85390374117794,35.5285494300772,13.0137,35.4871824870171,-0.3,0.0413669430600982,07-May-2021 00:30:00
738283.025,12.50565,41.3380330106757,1.4527,48.963402098065,-14.9419922145009,48.9888210008785,-14.9009597283881,-3.04767439815669,-2.82645303373059,35.5785031842822,12.80565,35.5371304591309,-0.3,0.0413727251513058,07-May-2021 00:36:00
738283.029166667,12.5509,41.2923561016943,1.38403333333333,48.9635409441055,-14.9421371639501,48.989069262209,-14.900890505828,-3.063581953639,-2.8386194588852,35.4920499331523,12.8509,35.4506714259098,-0.3,0.0413785072425135,07-May-2021 00:42:00
738283.033333333,12.6057166666667,41.3813412870421,1.38115,48.9636325460358,-14.942158194049,48.9893175235396,-14.9008212832679,-3.07028544017295,-2.85603918940304,35.5258975640044,12.9057166666667,35.4845132746707,-0.3,0.0413842893337212,07-May-2021 00:48:00
738283.0375,12.6161,41.3924789633057,1.37953333333333,48.9636661354708,-14.9421368263701,48.9895657848702,-14.9007520607078,-3.07383984571981,-2.87990961508123,35.5268218311102,12.9161,35.4854317596852,-0.3,0.0413900714249289,07-May-2021 00:54:00
738283.041666667,12.6022666666667,41.3762584085262,1.38968333333333,48.9638377175518,-14.9421810357957,48.9898140462007,-14.9006828381477,-3.08226496911719,-2.88843595861591,35.5242784536404,12.9022666666667,35.4828826001243,-0.3,0.0413958535161365,07-May-2021 01:00:00
738283.045833333,12.61885,41.3975735195736,1.38596666666667,48.9639329511488,-14.9421917352448,48.9900623075313,-14.9006136155876,-3.08820115004439,-2.90545186622691,35.5291320139014,12.91885,35.4877303782941,-0.3,0.0414016356073442,07-May-2021 01:06:00
738283.05,12.5602333333333,41.3417949099848,1.35046666666667,48.9641211858945,-14.9422427085734,48.9903105688688,-14.9005443930255,-3.09712866025493,-2.91212651869056,35.530752052414,12.8602333333333,35.4893446347153,-0.3,0.0414074176987134,07-May-2021 01:12:00
738283.054166667,12.60255,41.3732343492198,1.32068333333333,48.9643406848399,-14.9422105605132,48.9905588301994,-14.9004751704654,-3.09988235652576,-2.91532475000446,35.5211302256589,12.90255,35.479717025869,-0.3,0.0414131997899211,07-May-2021 01:18:00
738283.058333333,12.5388333333333,41.3391472450634,1.33903333333333,48.96454199,-14.9420620244444,48.99080709153,-14.9004059479053,-3.09399137178197,-2.92054603793638,35.5483594487646,12.8388333333333,35.5069404668835,-0.3,0.0414189818811288,07-May-2021 01:24:00
